Titre en anglais,Titre en Japonais,Editeurs,Numéro de série,Date,Main Category,Sub Category
Super Fire Pro Wrestling,スーパーファイヤープロレスリング,ヒューマン / Human,SHVC-FP,1991-12-20,Sports,Wrestling
Super Fire Pro Wrestling 2,スーパーファイヤープロレスリング2,ヒューマン / Human,SHVC-FF,1992-12-25,Sports,Wrestling
Super Fire Pro Wrestling 3 Easy Type,スーパーファイヤープロレスリング3 イージータイプ,ヒューマン / Human,SHVC-3E,1994-02-04,Sports,Wrestling
Super Fire Pro Wrestling 3: Final Bout,スーパーファイヤープロレスリング3 ファイナルバウト,ヒューマン / Human,SHVC-F3,1993-12-29,Sports,Wrestling
Super Fire Pro Wrestling Queen's Special,スーパーファイヤープロレスリング クイーンズスペシャル,ヒューマン / Human,SHVC-AQQJ-JPN,1995-06-30,Sports,Wrestling
Super Fire Pro Wrestling Special,スーパーファイヤープロレスリング スペシャル,ヒューマン / Human,SHVC-AP4J-JPN,1994-12-22,Sports,Wrestling
Super Fire Pro Wrestling X,スーパーファイヤープロレスリングX,ヒューマン / Human,SHVC-AF5J-JPN,1995-12-22,Sports,Wrestling
Super Fire Pro Wrestling X Premium,スーパーファイヤープロレスリングX プレミアム,ヒューマン / Human,SHVC-AF6J-JPN,1996-03-29,Sports,Wrestling
Super Fishing - Big Fight,スーパーフィッシング ビッグファイト,ナグザット / Naxat Soft,SHVC-ANFJ-JPN,1994-12-16,Sports,Pêche
Super Formation Soccer,スーパーフォーメーションサッカー,ヒューマン / Human,SHVC-FS,1991-12-13,Sports,Soccer
Super Formation Soccer 2,スーパーフォーメーションサッカー 2,ヒューマン / Human,SHVC-2S,1993-06-11,Sports,Soccer
Super Formation Soccer 94 - World Cup Final Data,スーパーフォーメーションサッカー94 ワールドカップファイナルデータ,ヒューマン / Human,SHVC-A3FJ-JPN,1994-09-22,Sports,Soccer
Super Formation Soccer 94 World Cup Edition,スーパーフォーメーションサッカー94 ワールドカップ・エディション,ヒューマン / Human,SHVC-3F,1994-06-17,Sports,Soccer
Super Formation Soccer 95 - della Series A,スーパーフォーメーションサッカー'95 デッラ セリエA,ヒューマン / Human,SHVC-A95J-JPN,1995-03-31,Sports,Soccer
Super Formation Soccer 96 World Club Edition,スーパーフォーメーションサッカー96 ワールドクラブエディション,ヒューマン / Human,SHVC-A96J-JPN,1996-03-29,Sports,Soccer
Super Gachapon World - SD Gundam X,スーパーガチャポンワールド SDガンダムX,"バンダイ, ユタカ / Bandai, Yutaka",SHVC-GX,1992-09-18,Strategy,
Super Genjin,スーパー超原人,ハドソン / レッド / Hudson / RED,SHVC-ZH / SNS-ANKE-USA,1994-07-22,Platformer,
Super Genjin 2,スーパー超原人2,ハドソン / レッド / Hudson / RED,SHVC-AZ7J-JPN,1995-07-28,Platformer,
Super Godzilla,超ゴジラ,東宝 / TOHO,SHVC-7G / SNS-7G,1993-12-22 / 1994-07-01,Strategy,
Super Gomoku Narabe - Renju,スーパー五目ならべ 連珠,ナグザット / Naxat Soft,SHVC-5N,1994-03-25,Table Game,
Super Gomoku Shougi,スーパー五目・将棋 — 定跡研究篇 —,日本物産（ニチブツ） / Nihon Bussan (Nichibutsu),SHVC-AGSJ-JPN,1994-11-18,Table Game,Shougi
Super Gussun Oyoyo,すーぱーぐっすんおよよ,バンプレスト / バンプレ企画/アイレム / Banpresto / IREM,SHVC-AP7J-JPN,1995-08-11,Puzzle,
Super Gussun Oyoyo 2,すーぱーぐっすんおよよ2,バンプレスト / バンプレ企画/アイレム / Banpresto / IREM,SHVC-A8BJ-JPN,1996-05-24,Puzzle,
Super H.Q. Criminal Chaser,スーパーH.Q. クリミナルチェイサー,タイトー / Taito,SHVC-HF,1993-11-26,Racing,Fun
Super Hanafuda,スーパー花札,アイマックス / I'MAX,SHVC-Q5,1994-08-05,Table Game,
Super Hanafuda 2,スーパー花札 弐 はなふだ2,アイマックス / I'MAX,SHVC-AHNJ-JPN,1995-10-20,Table Game,
Super High Impact,スーパーハイインパクト,"アクレイムジャパン, ヒロ / Acclaim Japan, HIRO / Beam Software / Midway",SHVC-HX / SNS-HX,1993-07-09 / 1993-06-01,Sports,Football
Super Hockey '94,スーパーホッケー'94,"ヨネザワパーティールーム21 / エスパル, イスコ / Yonezawa Party Room 21 / S'PAL, ISCO",SHVC-OX,1994-03-25,Sports,Hockey
Super Honmei - GI Seiha,ジーワン スーパー本命 G I 制覇,日本物産（ニチブツ） / Nihon Bussan (Nichibutsu),SHVC-IK (07),1994-02-28,Sports,Horse
Super Igo - Go Ou,スーパー囲碁 碁王,ナグザット / Naxat Soft,SHVC-IG,1994-04-08,Table Game,Igo
Super Indy Champ,スーパーインディチャンプ,フォーラム（オープンシステム） / Forum (Open System),SHVC-OI,1994-04-01,Racing,Formule 1
Super Inindou - Datou Nobunaga,スーパー伊忍道 打倒信長,光栄 / Koei,SHVC-IN,1992-03-19,Strategy,
Super James Pond 2,スーパー・ジェームス ポンドII,"ビクターエンタテインメント / Victor Entertainment / Millenium, Vectordean",SHVC-V5-(SHVC-V6),1993-07-23,Platformer,
Super Jangou,スーパー雀豪,ビクターエンタテインメント / Victor Entertainment / Orpheck,SHVC-AJ4J-JPN,1995-03-17,Table Game,
Super Keiba,スーパー競馬,アイマックス / I'MAX,SHVC-KB,1993-08-10,Sports,Horse
Super Keiba 2,スーパー競馬2,アイマックス / トムキャットシステム / I'MAX / Tomcat System,SHVC-AKBJ-JPN,1995-05-19,Sports,Horse
Super Keirin,スーパー競輪,アイマックス / I'MAX,SHVC-AKRJ-JPN,1995-07-14,Gambling,
Super Kick Boxing - Best of the Best,スーパーキックボクシング,エレクトロ・ブレイン・コーポレーション・ジャパン / Electro Brain Corp. Japan / Loriciel,SHVC-BE,1993-03-05,Sports,Martial Arts
Super Kick Off,スーパーキックオフ,ミサワエンターテインメント / Misawa Entertainment / Anco Games,SHVC-KO,1992-12-25,Sports,Soccer
Super Kokou Yakyuu - Ichikyuu Jikkon,スーパー高校野球 一球入魂,アイマックス / I'MAX,SHVC-Q6,1994-08-05,Sports,Baseball
Super Kyousouba - Kaze no Sylphid,スーパー競走馬 風のシルフィード,キングレコード / King Records,SHVC-KJ-(KIS-2),1993-10-08,Sports,Horse
Super Kyoutei,スーパー競艇,日本物産（ニチブツ） / Nihon Bussan (Nichibutsu),SHVC-AKYJ-JPN,1995-06-30,Sports,Boat Racing 
Super Kyoutei 2,スーパー競艇2,日本物産（ニチブツ） / Nihon Bussan (Nichibutsu),SHVC-A2YJ-JPN,1996-04-26,Sports,Boat Racing 
Super Kyuukyoku Harikiri Stadium,スーパー究極ハリキリスタジアム,タイトー / Taito,SHVC-HI,1993-12-03,Sports,Baseball
Super Kyuukyoku Harikiri Stadium 2,スーパー究極ハリキリスタジアム2,タイトー / Taito,SHVC-9H,1994-08-12,Sports,Baseball
Super Linearball,スーパーリニアボール,ヒロ / HIRO,SHVC-SJ,1992-11-06,Sports,Football
Super Loopz,スーパーループス,イマジニア / Imagineer / Audiogenic Software Limited,SHVC-2E,1994-03-04,Puzzle,
Super Mad Champ,スーパーマッドチャンプ,ツクダオリジナル / Tsukuda Original,SHVC-ACHJ-JPN,1995-03-04,Sports,Moto
Super Mahjong,スーパーま〜じゃん (SUPER 麻雀),アイマックス / I'MAX,SHVC-SM,1992-08-22,Table Game,Mahjong
Super Mahjong 2 - Honkaku 4 Nin Uchi!,スーパーま〜じゃん 麻雀2 本格4人打ち！,アイマックス / I'MAX,SHVC-2A,1993-12-02,Table Game,Mahjong
Super Mahjong 3 - Karakuchi,スーパーま〜じゃん3 (麻雀3) 辛口,アイマックス / I'MAX,SHVC-Q8,1994-11-25,Table Game,Mahjong
Super Mahjong Taikai,スーパー麻雀大会,光栄 / Koei,SHVC-IQ,1992-09-12,Table Game,Mahjong
Super Mario Collection,スーパーマリオコレクション,任天堂 / Nintendo,SHVC-4M,1993-07-14,Platformer,
Super Mario Kart,スーパーマリオカート,任天堂 / Nintendo,SHVC-MK / SNS-MK,1992-08-27 / 1992-09-01,Racing,Fun
Super Mario RPG - Legend of the Seven Stars,スーパーマリオRPG,任天堂 / スクウェア / Nintendo / Square,SHVC-ARWJ-JPN / SNS-ARWE-USA,1996-03-09 / 1996-05-13,RPG,
Super Mario World,スーパーマリオワールド,任天堂 / Nintendo,SHVC-MW / SNS-MW-USA,1990-11-21 / 1991-08-13,Platformer,
Super Mario World 2 - Yoshi's Island,スーパーマリオ ヨッシーアイランド,任天堂 / Nintendo,SHVC-YI-(G737679) / SNS-YI,1995-08-05,Platformer,
Super Metroid,スーパーメトロイド,任天堂 / インテリジェントシステムズ / Nintendo / Intelligent Systems,SHVC-RI,1994-03-19,Platformer,
Super Moero!! Pro Yakyuu,スーパー燃えろ！！プロ野球,ジャレコ / Jaleco,SHVC-AB3J-JPN / SNS-AB3E-USA,1994-12-23,Sports,Baseball
Super Momotarou Dentetsu 2,スーパー桃太郎電鉄II,ハドソン / Hudson,SHVC-H4,1992-08-07,Table Game,
Super Momotarou Dentetsu 3,スーパー桃太郎電鉄III,ハドソン / アムカス / Hudson / Amccus,SHVC-AMDJ-JPN,1994-12-09,Table Game,
Super Momotarou Dentetsu DX,スーパーデラックス 桃太郎電鉄DX,ハドソン / アムカス / Hudson / Amccus,SHVC-AH6J-JPN,1995-12-08,Table Game,
Super Naxat Open - Golf de Shoubu da! Dorabocchan,スーパーナグザットオープン ゴルフで勝負だ！どらぼっちゃん,ナグザット / 空想科学 / Naxat Soft / Kuusoukagaku,SHVC-XD,1994-03-18,Sports,Golf
Super Nazo Puyo - Lulu no Luu,す〜ぱ〜なぞぷよ ルルーのルー,バンプレスト / コンパイル / Banpresto / Compile,SHVC-ANQJ-JPN,1995-05-26,Puzzle,Matching
Super Nazo Puyo 2 - Lulu no Tetsuwan Hanjouki,す〜ぱ〜なぞぷよ通 ルルーの鉄腕繁盛記,コンパイル / Compile,SHVC-A8PJ-JPN,1996-06-28,Puzzle,Matching
Super Nichibutsu Mahjong,スーパーニチブツマージャン,日本物産（ニチブツ） / Nihon Bussan (Nichibutsu),SHVC-NM,1992-12-18,Table Game,Mahjong
Super Nichibutsu Mahjong 2 - Zenkoku Seiha Hen,スーパーニチブツマージャン2 全国制覇篇,日本物産（ニチブツ） / Nihon Bussan (Nichibutsu),SHVC-2N,1993-10-29,Table Game,Mahjong
Super Nichibutsu Mahjong 3 - Yoshimoto Gekijyo Hen,スーパーニチブツマージャン3 吉本劇場篇,日本物産（ニチブツ） / Nihon Bussan (Nichibutsu),SHVC-3J,1994-07-29,Table Game,Mahjong
Super Nichibutsu Mahjong 4 - Kiso Kenkyu Hen,スーパーニチブツマージャン4 基礎研究篇,日本物産（ニチブツ） / Nihon Bussan (Nichibutsu),SHVC-A4MJ-JPN,1996-09-27,Table Game,Mahjong
Super Ninja-kun,す〜ぱ〜忍者くん,ジャレコ / Jaleco,SHVC-8Q,1994-08-05,Platformer,Action
Super Nobunaga no Yabou - Bushou Fuuunroku,スーパー信長の野望 武将風雲録,光栄 / Koei,SHVC-IZ,1991-12-21,Strategy,
Super Nobunaga no Yabou Zen Koku Ban,スーパー信長の野望 全・国・版,光栄 / Koei,SHVC-NZ / SNS-NZ,1993-08-05,Strategy,
Super Off Road,スーパーオフロード,パック・イン・ビデオ / Pack-In-Video / Leland / Tradewest,SHVC-FR / SNS-OR,1992-07-03 / 1991-12-01,Sports,Off Road Racing
Super Okuman Chouja Game - The Game of Billionaire,スーパー億万長者ゲーム,タカラ / Takara,SHVC-ABGJ-JPN,1995-11-24,Table Game,
Super Oozumou - Nessen Dai Ichiban,スーパー大相撲 熱戦大一番,ナムコ / ナムコット / Namco / Namcot,SHVC-OK,1992-12-18,Sports,Sumo (相撲)
Super Pachi Slot Mahjong,スーパーパチスロマージャン,日本物産（ニチブツ） / Nihon Bussan (Nichibutsu),SHVC-QU,1994-04-29,Table Game,Mahjong
Super Pachinko,スーパー！！ パチンコ,アイマックス / I'MAX,SHVC-Q7,1994-07-29,Gambling,Pachinko
Super Pachinko Taisen,スーパーパチンコ大戦,バンプレスト / Banpresto,SHVC-ADXJ-JPN,1995-04-28,Gambling,Pachinko
Super Pang,スーパーパン,"カプコン, ステイタス / Capcom",SHVC-SN,1992-08-07,Puzzle,Action
Super Pinball - Behind The Mask,スーパー・ピンボール ビハインド・ザ・マスク,メルダック / カゼ / Meldac / Kaze,SHVC-3P / SNS-XP,1994-01-08 / 1994-11-01,Pinball,
Super Pinball II - The Amazing Odyssey,スーパーピンボール2 ザ・アメイジング・オデッセイ,メルダック / カゼ / Meldac / Kaze,SHVC-APLJ-JPN,1995-03-17,Pinball,
Super Power League,スーパーパワーリーグ,ハドソン / Hudson,SHVC-M3,1993-08-06,Sports,Baseball
Super Power League 2,スーパーパワーリーグ2,ハドソン / Hudson,SHVC-Z4,1994-08-03,Sports,Baseball
Super Power League 3,スーパーパワーリーグ3,ハドソン / Hudson,SHVC-AP9J-JPN,1995-08-10,Sports,Baseball
Super Power League 4,スーパーパワーリーグ4,ハドソン / Hudson,SHVC-AE7J-JPN,1996-08-09,Sports,Baseball
Super Professional Baseball,スーパープロフェッショナルベースボール,ジャレコ / Jaleco,SHVC-SP,1991-05-17,Sports,Baseball
Super Professional Baseball 2,スーパープロフェッショナルベースボールII,ジャレコ / Jaleco / Argonaut,SHVC-PB,1992-08-07,Sports,Baseball
Super Punch-Out!!,スーパーパンチアウト！！,任天堂 / Nintendo,SHVC-4Q / SNS-4Q,1998-03-01 / 1994-02-28,Sports,Boxing
Super Puyo Puyo,す〜ぱ〜ぷよぷよ,バンプレスト / コンパイル / Banpresto / Compile,SHVC-PQ,1993-12-10,Puzzle,Matching
Super Puyo Puyo 2,す〜ぱ〜ぷよぷよ通,コンパイル / Compile,SHVC-AXPJ-JPN,1995-12-08,Puzzle,Matching
Super Puyo Puyo 2 Remix,す〜ぱ〜ぷよぷよ通リミックス,コンパイル / Compile,SHVC-A7PJ-JPN,1996-03-08,Puzzle,Matching
Super R-Type,スーパー・アールタイプ,アイレム / IREM,SHVC-SR / SNS-SR,1991-07-13 / 1991-09-01,SHMUP,Horizontal
Super Real Mahjong P4,スーパーリアル麻雀P IV,セタ / Seta,SHVC-4S,1994-03-25,Table Game,Mahjong
Super Real Mahjong PV - Paradise - All-Star 4 Nin Uchi,スーパーリアル麻雀PV パラダイス オールスター4人打ち,セタ / Seta,SHVC-A5PJ-JPN,1995-04-21,Table Game,Mahjong
Super Robot Taisen EX,スーパーロボット大戦EX,バンプレスト / ウィンキーソフト / Banpresto / winkysoft,SHVC-E6,1994-03-25,Strategy,Turn Based
Super Robot Taisen Gaiden - Masou Kishin - The Lord Of Elemental,スーパーロボット大戦外伝 魔装機神,バンプレスト / ウィンキーソフト / Banpresto / Winkysoft,SHVC-ALXJ-JPN,1996-03-22,Strategy,Turn Based
Super Royal Blood,スーパーロイヤルブラッド,光栄 / Koei,SHVC-IU,1992-10-22,Strategy,
Super Rugby,スーパーラグビー,トンキンハウス（東京書籍） / Tonkin House (Tokyo Shoseki),SHVC-I3,1994-10-21,Sports,Rugby
Super Sangokushi,スーパー三国志,光栄 / Koei,SHVC-I4,1994-08-12,Strategy,
Super Sangokushi II,スーパー三国志II,光栄 / Koei,SHVC-XL,1991-09-15,Strategy,
Super Scope 6,スーパースコープ6,任天堂 / インテリジェントシステムズ / Nintendo / Intelligent Systems,SHVC-LR,1993-06-21,Shooter,Target
Super Shanghai - Dragon's Eye,スーパー上海ドラゴンズアイ,ホット・ビィ / 元気 / アクティビジョン / HOT-B / Genki / Activision,SHVC-DE,1992-04-28,Table Game,
Super Shougi,スーパーしょうぎ (SUPER 将棋),アイマックス / I'MAX,SHVC-SD,1992-06-19,Table Game,Shougi
Super Shougi 2,スーパーしょうぎ2 (将棋2),アイマックス / I'MAX,SHVC-2B,1994-06-17,Table Game,Shougi
Super Shougi 3 - Kitaihei,スーパー将棋3 棋太平,アイマックス / I'MAX,SHVC-A3IJ-JPN,1995-12-29,Table Game,Shougi
Super Slap Shot,スーパースラップショット,アルトロン / ヴァージンゲーム / Altron / Ringler Studios / Virgin Games,SHVC-ZX,1993-08-20,Sports,Hockey
Super Snakey,スーパースネーキー,四次元 / Yojigen / Spectrum Holo Byte / J.S.C.Gamos,SHVC-AWSJ-JPN / SNS-AWSE-USA,1994-12-16,Puzzle,Tetris
Super Soukoban,スーパー倉庫番,パック・イン・ビデオ / シンキングラビット / Pack-in-Video / Thinking Rabbit,SHVC-VN,1993-01-29,Puzzle,Réflexion
Super Stadium,スーパースタジアム,セタ / Seta,SHVC-SS,1991-07-02,Sports,Baseball
Super Star Wars,スーパー・スター・ウォーズ,"ビクター音楽産業 / ルーカスアーツ / Victor Musical Industries / Lucas Arts, Sculptured Software",SHVC-V4 / SNS-V4,1992-12-18 / 1992-11-01,Platformer,
Super Star Wars - Return Of The Jedi,スーパースターウォーズ ジェダイの復讐,"ビクターエンタテインメント / ルーカスアーツ / Victor Entertainment / Lucas Arts, Sculptured",SHVC-ARJJ-JPN / SNS-ARJE-USA,1995-06-23 / 1995-06-22,Platformer,
Super Star Wars - The Empire Strikes Back,スーパー・スター・ウォーズ 帝国の逆襲,ビクターエンタテインメント / ルーカスアーツ / Victor Entertainment / Lucas Arts,SHVC-V9 / SNS-E5,1993-12-17 / 1993-06-01,Platformer,
Super Street Fighter II Turbo - Hyper Fighting,スーパーストリートファイターIIターボ,カプコン / Capcom,SHVC-XW,1994-06-25,Fighting,Versus
Super Swiv,スーパーSWIV,ココナッツ・ジャパン / Coconuts Japan,SHVC-SQ,1992-11-13,SHMUP,Vertical
Super Tekkyuu Fight!,スーパー鉄球ファイト！,バンプレスト / メトロ / Banpresto / Metro,SHVC-AIBJ-JPN,1995-09-15,Puzzle,Bomberman
Super Tennis - World Circuit,スーパーテニス ワールドサーキット,トンキンハウス / Tonkin House,SHVC-ST,1991-08-30,Sports,Tennis
Super Tetris 2 + Bombliss,スーパーテトリス2＋ボンブリス,ビー・ピー・エス / Bullet-Proof Software / Elorg,SHVC-T2,1992-12-18,Puzzle,Tetris
Super Tetris 3,スーパーテトリス3,ビー・ピー・エス / Bullet-Proof Software / Elorg,SHVC-AT3J-JPN,1994-12-16,Puzzle,Tetris
Super Troll Islands,スーパートロールアイランド 幸せをあげる,ケムコ（コトブキシステム） / Kemco,SHVC-9T / SNS-5L,1994-03-25 / 1993-01-01,Puzzle,
Super Trump Collection,スーパートランプコレクション,ボトムアップ / Bottom Up,SHVC-AT7J-JPN,1995-04-21,Table Game,Cards
Super Trump Collection 2,スーパートランプコレクション2,ボトムアップ / Bottom Up,SHVC-AQKJ-JPN,1996-07-19,Table Game,Cards
Super Tsume Shougi 1000,スーパー詰将棋1000,ボトムアップ / Bottom Up,SHVC-AIOJ-JPN,1994-12-16,Table Game,Shougi
Super Turrican,スーパータリカン,トンキンハウス（東京書籍） / ファクター5 / Tonkin House (Tokyo Shoseki) / Factor 5,SHVC-T9 / SNS-TU,1993-09-03 / 1993-01-01,Platformer,
Super Ultra Baseball,スーパーウルトラベースボール（野球）,カルチャーブレーン / Culture Brain,SHVC-UB,1991-07-12,Sports,Baseball
Super Ultra Baseball 2,スーパーウルトラベースボール2,カルチャーブレーン / Culture Brain,SHVC-UO,1994-07-28,Sports,Baseball
Super UNO,スーパーUNO,トミー / Tomy,SHVC-UN,1993-11-12,Table Game,Cards
Super Valis - Akaki Tsuki no Otome,スーパーヴァリス 赤き月の乙女,レーザーソフト（日本テレネット） / Laser Soft (Telenet Japan),SHVC-VA,1992-03-27,Beat 'em All,
Super Variable Geo,スーパーヴァリアブル・ジオ,テイジイエル / 戯画 / Technical Group Laboratory / Giga,SHVC-AXYJ-JPN,1995-07-21,Fighting,Versus
Super Volley 2,スーパーバレーII,ビデオシステム / Video System,SHVC-VB,1992-12-25,Sports,Volleyball
Super Wagyan Land,スーパーワギャンランド,ナムコ / Namco,SHVC-SW,1991-12-13,Platformer,
Super Wagyan Land 2,スーパーワギャンランド2,ナムコ / Namcot,SHVC-S6,1993-03-25,Platformer,
Super Wrestle Angels,スーパーレッスルエンジェルス,イマジニア / グレイト / Imagineer / Great,SHVC-AWAJ-JPN,1994-12-16,Sports,Wrestling
Super Yakyuu Dou,スーパー野球道,バンプレスト / バンプレ企画 / 日本クリエイト / Banpresto / Nihon Create,SHVC-A82J-JPN,1996-01-26,Sports,Baseball
Super Zugan - Hakotenjou Kara no Shoutaijou,スーパーヅガン —ハコテン城からの招待状—,エレクトロニック・アーツ・ビクター / Electronic Arts Victor,SHVC-ZU,1994-02-11,Table Game,Mahjong
Super Zugan 2 - Tsukanpo Fighter,スーパーヅガン2 ツカンポファイター〜明菜コレクション〜,J・ウイング / J-WING,SHVC-AJZJ-JPN,1994-12-30,Table Game,Mahjong
Supiritto Oozumou Tamashii,スピリット 大相撲魂,タカラ / Takara,SHVC-OZ,1992-12-11,Sports,Sumo (相撲)
Sutobasu Yarou Show - 3 On 3 Basketball,ストバスヤロウ将,ビーアイ / B-AI,SHVC-3X,1994-02-25,Sports,Basketball
Sutte Hakkun,すってはっくん,任天堂 / インディーズゼロ / Nintendo / indieszero,SHVC-BSHJ-JPN,1998-08-01,Puzzle,
Suzuka 8 Hours,スズカエイトアワーズ,ナムコ / Namcot,SHVC-8H / SNS-8H,1993-10-15 / 1993-01-01,Racing,Moto
Sword Maniac,ソード・マニアック,東芝EMI / Toshiba EMI,SHVC-S5-(TOPN-2003),1994-02-11 / 1994-02-01,Beat 'em All,
Sword World SFC,ソード・ワールドSFC,ティーアンドイーソフト / グループSNE / T&E Soft / Group SNE,SHVC-AW,1993-08-06,RPG,
Sword World SFC 2 - Inishie no Kyojin Densetsu,ソードワールドSFC2 いにしえの巨人伝説,ティーアンドイーソフト / グループSNE / T&E Soft / Group SNE,SHVC-7M,1994-07-15,RPG,
Syndicate,シンジケート,エレクトロニック・アーツ・ビクター / Electronic Arts Victor / Bullfrog Productions,SHVC-AFYJ-JPN / SNS-AFYE-USA,1995-05-19 / 1995-01-01,Strategy,
Syvalion,サイバリオン,東芝EMI / タイトー / Toshiba EMI / Taito,SHVC-SY-(TOPN-2002),1992-07-24,SHMUP,
T2 - The Arcade Game,T2 ザ・アーケードゲーム,"アクレイムジャパン, ヒロ / Acclaim Japan, Hiro / Ljn, Probe / Midway",SHVC-XV,1994-02-25,Shooter,Target
Table Game Daisyugo!! Shougi Mahjong Hanafuda,テーブルゲーム大集合！！ 将棋・麻雀・花札・トゥーサイド,バリエ / Varie,SHVC-AG8J-JPN,1996-07-26,Table Game,Shougi
Tactical Soccer,タクティカル・サッカー,エレクトロニック・アーツ・ビクター / Electronic Arts Victor,SHVC-AZZJ-JPN,1995-04-21,Sports,Soccer
Tactics Ogre - Let Us Cling Together,タクティクス オウガ,クエスト / Quest,SHVC-AO7J-JPN,1995-10-06,RPG,
Tadaima Yuusha Boshuuchuu Okawari,ただいま勇者募集中おかわり,ヒューマン / Human,SHVC-ATYJ-JPN,1994-11-25,Table Game,
Taekwon-Do,足台 拳 道 テコンドー,ヒューマン / Human,SHVC-II,1994-06-28,Sports,Martial Arts
Taiketsu!! Brass Numbers,対決！！ブラスナンバーズ,レーザーソフト（日本テレネット） / Laser Soft (Telenet Japan),SHVC-TB / SNS-DM,1992-11-20,Fighting,Versus
Taikou Risshiden,太閤立志伝,光栄 / Koei,SHVC-TD,1993-04-07,RPG,
Taikyoku Igo - Goliath,対局囲碁ゴライアス,ビー・ピー・エス / Bullet-Proof Software,SHVC-IA,1993-05-14,Table Game,Igo
Taikyoku Igo - Idaten,対局囲碁 韋駄天,ビー・ピー・エス / Bullet-Proof Software,SHVC-AIIJ-JPN,1995-12-29,Table Game,Igo
Takahashi Meijin no Daibouken Shima,高橋名人の大冒険島,ハドソン / Hudson,SHVC-H2,1992-01-11,Platformer,
Takahashi Meijin no Daibouken Shima II,高橋名人の大冒険島II,ハドソン / Hudson,SHVC-AT2J-JPN,1995-01-03,Platformer,
Take Yutaka GI Memory,武豊GIメモリー,"NGP / ギャップス, ナグザット / N&G Project / GAPS, Naxat",SHVC-AGBJ-JPN,1995-07-21,Strategy,
Takeda Nobuhiro no Super League Soccer,武田修宏のスーパーリーグサッカー,ジャレコ / Jaleco,SHVC-ATKJ-JPN,1994-11-25,Sports,Soccer
Takemiya Masaki Kudan no Igo Taishou,武宮正樹九段の囲碁大将,日本ソフトシステム / ケイエスエス / アウトバック / Nihon Soft System / KSS / Outback,SHVC-AITJ-JPN,1995-08-11,Table Game,Igo
Tales of Phantasia,テイルズ オブ ファンタジア,ナムコ / ウルフチーム / Namco / Wolf Team,SHVC-ATVJ-JPN,1995-12-15,RPG,
Tamagotchi Town,たまごっちタウン,バンダイ / マリーガル / Bandai / Marigul,SHVC-BTTJ-JPN,1999-05-01,Strategy,Breeding
Tarot Mystery,タロットミステリー,ヴィジット / 浮世亭 / Visit / Ukiyotei,SHVC-AT5J-JPN,1995-04-28,Simulation,Tarot
Tatakae Genshijin,ジョー＆マック 戦え原始人,データイースト / Data East,SHVC-JT,1991-12-06,Platformer,
Tatakae Genshijin 2 - Rookie no Bouken,戦え原始人2 ルーキーの冒険,データイースト / Data East,SHVC-J2 / SNS-J2,1992-12-18 / 1993-01-01,Platformer,
Tatakae Genshijin 3 - Shuyaku ha Yappari - Joe & Mac,ジョー アンド マック 戦え原始人3 主役はやっぱりJOE & MAC,データイースト / Data East,SHVC-J3,1994-02-18,Platformer,
Tecmo Super Baseball,テクモスーパーベースボール,テクモ / Tecmo,SHVC-ATBJ-JPN,1994-10-28,Sports,Baseball
Tecmo Super Bowl,テクモスーパーボウル,テクモ / Tecmo,SHVC-7T / SNS-7T,1993-11-26 / 1993-11-01,Sports,Football
Tecmo Super Bowl 2 - Special Edition,テクモスーパーボウルII スペシャルエディション,テクモ / Tecmo,SHVC-ASBJ-JPN,1994-12-20,Sports,Football
Tecmo Super Bowl III - Final Edition,テクモスーパーボウルIII ファイナルエディション,テクモ / Tecmo,SHVC-AW4J-JPN / SNS-AW4E-USA,1995-12-22,Sports,Football
Tecmo Super NBA Basketball,テクモスーパーNBAバスケットボール,テクモ / Tecmo,SHVC-NA,1992-12-25,Sports,Basketball
Teenage Mutant Ninja Turtles - Turtles In Time,ティーンエージ ミュータント ニンジャ タートルズ／タートルズ イン タイム,コナミ / Konami,SHVC-TM,1992-07-24,Beat 'em All,
Teenage Mutant Ninja Turtles: Mutant Warriors,T.M.N.T. ミュータントウォーリアーズ,コナミ / Konami,SHVC-KY,1993-12-03,Fighting,Versus
Teitoku no Ketsudan,提督の決断,光栄 / Koei,SHVC-TK,1992-09-24,Strategy,
Teitoku no Ketsudan II,提督の決断II,光栄 / Koei,SHVC-ATEJ-JPN / SNS-ATEE-USA,1995-02-17,Strategy,
Tekichuu Keiba Juku,的中競馬塾,バンプレスト / バンプレ企画 / Banpresto,SHVC-APCJ-JPN,1996-01-19,Sports,Horse
Tenchi Muyou! Game Hen,天地無用！ げーむ編,バンプレスト / Banpresto,SHVC-AMUJ-JPN,1995-10-27,RPG,
Tenchi Souzou,天地創造,エニックス / クインテット / Enix / Quintet,SHVC-AQTJ-JPN,1995-10-20,RPG,Action
Tenchi wo Kurau - Sangokushi Gunyuuden,天地を喰らう 三国志群雄伝,カプコン / Capcom,SHVC-AKTJ-JPN,1995-08-11,Strategy,
Tenryuu Genichiro no Pro Wrestling Revolution,レヴォリューション 天龍源一郎のプロレス,ジャレコ / Jaleco,SHVC-LJ,1994-09-30,Sports,Wrestling
Tenshi no Uta: Shiroki Tsubasa no Inori,天使の詩 〜白き翼の祈り〜,日本テレネット / Telenet Japan,SHVC-UA,1994-07-29,RPG,
